names,IS,neg_controls,pos_controls_gender
m_1,0,1,0
m_2,0,1,0
m_3,0,1,0
m_4,0,0,0
m_5,0,0,0
m_6,0,0,0
m_7,0,0,0
m_8,0,1,0
m_9,0,1,0
m_10,0,1,0
m_11,0,0,0
m_12,0,0,0
m_13,1,1,0
m_14,0,0,0
m_15,0,0,0
m_16,0,0,0
m_17,0,0,0
m_18,0,0,0
m_19,0,0,0
m_20,0,0,0
m_21,0,0,0
m_22,0,0,0
m_23,0,0,0
m_24,0,0,1
m_25,0,0,0
m_26,0,0,0
m_27,0,0,0
m_28,0,0,0
m_29,0,1,0
m_30,0,0,0
m_31,0,0,0
m_32,0,0,0
m_33,0,0,0
m_34,0,0,0
m_35,0,0,0
m_36,0,0,0
m_37,0,0,0
m_38,0,0,0
m_39,0,0,0
m_40,0,0,0
m_41,0,0,0
m_42,0,0,0
m_43,0,1,0
m_44,0,0,0
m_45,0,0,0
m_46,0,0,0
m_47,0,0,0
m_48,0,0,0
m_49,0,0,0
m_50,0,0,0
m_51,0,0,0
m_52,0,0,0
m_53,0,0,0
m_54,0,0,0
m_55,0,0,0
m_56,0,0,0
m_57,0,0,0
m_58,0,0,0
m_59,1,1,0
m_60,0,0,0
m_61,0,1,0
m_62,0,1,0
m_63,0,0,0
m_64,0,0,0
m_65,0,0,0
m_66,1,1,0
m_67,0,0,0
m_68,0,0,0
m_69,0,0,0
m_70,0,0,0
m_71,0,0,0
m_72,0,0,0
m_73,0,0,0
m_74,1,1,0
m_75,0,1,0
m_76,0,1,0
m_77,0,0,0
m_78,0,0,0
m_79,0,0,0
m_80,0,0,0
m_81,0,0,0
m_82,0,0,0
m_83,0,0,0
m_84,0,1,0
m_85,0,0,0
m_86,0,0,0
m_87,0,1,0
m_88,0,0,0
m_89,0,0,0
m_90,0,0,0
m_91,0,1,0
m_92,0,0,0
m_93,0,0,0
m_94,0,1,0
m_95,0,0,1
m_96,1,1,0
m_97,0,0,0
m_98,0,0,0
m_99,0,0,0
m_100,0,0,0
m_101,0,0,0
m_102,0,0,0
m_103,0,0,0
m_104,0,0,0
m_105,0,1,0
m_106,0,1,0
m_107,0,1,0
m_108,0,0,0
m_109,0,0,0
m_110,0,0,0
m_111,0,0,0
m_112,0,0,0
m_113,0,1,0
m_114,0,1,0
m_115,0,1,0
m_116,0,0,0
m_117,0,0,0
m_118,0,1,0
m_119,0,0,0
m_120,0,1,0
m_121,0,1,0
m_122,0,0,0
m_123,0,1,0
m_124,0,0,0
m_125,0,0,0
m_126,0,0,0
m_127,0,0,0
m_128,0,1,0
